,Phrase
0,
1,"Hannah Arendt, you are the first woman to be presented in this series "
2,"in what's commonly considered a very masculine profession, "
3,This takes me to my first question. 
4,Do you see your role in the circle of philosophers 
5,"as something special, despite your received recognition and respect? "
6,Or did this emancipation issue never exist for you? 
7,I do not belong to the circle of philosophers. 
8,"My profession, if it can be spoken of at all, is political theory. "
9,I don't feel like a philosopher at all. 
10,"Nor do I think I've been accepted in the circle of philosophers, as you kindly say. "
11,But if we come to the other question that you raised: 
12,you say it's widely thought a masculine occupation. 
13,"Well, it does not have to remain a masculine occupation! "
14,It could well be that a woman will one day be a philosopher. 
15,"Well, I can't do anything about that. "
16,"In my opinion, I'm not a philosopher. "
17,I've said goodbye to philosophy for good. 
18,"I studied philosophy, as you know. "
19,But that doesn't mean that I stayed with it. 
20,— I'm glad we've come to this point. 
21,I would like to know more exactly where you see the difference between your work 
22,as a professor of political theory and political philosophy? 
23,Where do you see the difference? 
24,"When I think of a number of your works, like The Human Condition, "
25,I'd like to categorize you as a philosopher 
26,as long as you don't more precisely define for me the difference for you. 
27,
28,"The expression ""political philosophy"", which I avoid, "
29,is extremely burdened by tradition. 
30,"When I speak about these things, "
31,"academically or non-academically, "
32,I always mention that there is a tension between philosophy & politics. 
33,and man as an acting being. 
34,"There's a tension which in this sense doesn't exist, say, in natural philosophy. "
35,The philosopher faces nature like everyone else. 
36,"When he thinks about it, he speaks in the name of all humanity. "
37,But he cannot be neutral with regard to politics. Not since Plato! 
38,"There is a kind of hostility against all politics among most philosophers, "
39,with very few exceptions. Kant is an exception. 
40,SU temo N MRE. Caatitohy important for this whole area 
41,because it isn't a personal affair. 
42,It is in the nature of the subject itself. 
43,— You want no part of this hostility to politics 
44,because you think it would burden your work? 
45,"I want no part of the hostility, that is, I want "
46,to see politics with eyes which are to an extent unclouded by philosophy. 
47,Was this a problem for you? 
48,"Yeah, of course, there is always the problem as such. "
49,And I was actually old-fashioned. 
50,"I always thought that there are certain occupations that are improper for women, "
51,"that do not suit them, if I can put it like that. "
52,It does not look good when a woman gives orders. 
53,She should try not to get into such positions 
54,if she wants to retain feminine qualities. 
55,"I myself conformed to that, more or less unconsciously, or rather: consciously. "
56,The problem didn't play a role for me personally. 
57,"You see, I just did what I wanted to do. "
58,I never worried about whether I was a woman who did what men usually do. 
59,That didn’t matter to me personally. 
60,Your work — we will surely go into details later — 
61,is in significant parts aimed at the knowledge 
62,of the conditions under which political action & conduct come about. 
63,Do you want to achieve a broad impact with these works? 
64,Or do you believe such an impact is no longer possible in these times? 
65,Or is such an impact unimportant to you? 
66,"If I am to speak entirely honestly, "
67,"then when I'm working, I don't care about its impact. "
68,"And what is really important for me, "
69,"with the limitation that no one knows themselves, "
70,"that one shouldn't analyze oneself, "
71,one shouldn't do what I'm really doing now with you. 
72,
73,This understanding also includes writing for me. 
74,Writing is part of the process of understanding. 
75,"— When you write, does it further your own understanding? "
76,"Let's say that one had a very good memory, "
77,so that one could actually retain everthing one thinks: 
78,"I very much doubt I would've written anything, since I know my own laziness. "
79,"~ If you had such a memory? — Yeah, I don't. "
80,"That is, what matters to me is the thought process itself, personally. "
81,"When I have that, I am personally quite satisfied. "
82,"If I manage to succeed in expressing it adequately in writing, I'm also satisfied. "
83,"Now, you ask about the effect of my work. "
84,"If I may speak ironically, that is a masculine question. "
85,Men always want to be tremendously influential. 
86,I see this in a sense from the outside. 
87,"Do I see myself thus? No, I want to understand. "
88,"And when others understand in the same sense as I understood, "
89,"then it gives me satisfaction, like a sense of being at home. "
90,Do you write easily? Do you formulate thoughts easily? 
91,Sometimes. But in general I never write until I can dictate it to myself. 
92,"— Until you've thought it out? — Yes, I know what to write before. "
93,Usually I only write it down once. 
94,It just depends on how fast I type. 
95,"Today the central focus of your work is political theory, political action & conduct. "
96,In these circumstances it's especially interesting to me what I found 
97,"There you wrote, if may quote, "
98,"that you were ""neither interested in politics nor in history in your youth"". "
99,"Mrs. Arendt, you emigrated in 1933 from Germany as a Jew. You were 26. "
100,"the cessation of indifference to politics and history, "
101,have a connection to these everits? 
102,"I mean, we could discuss this at length. "
103,Indifference was no longer possible in 1933. 
104,"Yes, of course. "
105,I read the newspapers with suspense. I had opinions. 
106,I didn't belong to a party. I didn't need to then. 
107,By 1931 I was firmly convinced that the Nazis would come to power. 
108,And I was constantly arguing with others over these issues. 
109,But I really only dealt with these things systematically after I emigrated. 
110,I have another question about what you just said. 
111,Based on your conviction by 1931 
112,"that the Nazis could not be prevented from coming to power, "
113,didn't you feel compelled to actively do something by joining a party? 
114,Or did you no longer think it made sense? 
115,I personally didn't think it made sense. 
116,If I had thought it made sense — but it's very difficult to say in retrospect — 
117,then I might've done something. I thought it was hopeless. 
118,Is there a particular event in your memory 
119,
120,"Yes, in a sense, I'd say February 27, 1933, the burning of the Reichstag, "
121,and the illegal arrests that followed that same night. 
122,"As you know, people were taken to Gestapo cellars or concentration camps. "
123,And today it has often been overshadowed by later events. 
124,This was an immediate shock for me. 
125,And from that moment on I felt responsible. 
126,"That is, I no longer thought you can just sit back & watch. "
127,I tried to help with many things. 
128,But what actually led me out of Germany... 
129,I intended to emigrate anyway. 
130,I immediately thought that Jews could not stay. 
131,I had no intention of walking around Germany as a second-class citizen 
132,I also believed that things would get worse and worse. 
133,"Nevertheless, I did not finally leave in a peaceful way. "
134,"And I have to say, I felt some satisfaction. "
135,"I was arrested and had to leave the country illegally, I'll say how shortly, "
136,I had instant satisfaction. I thought at least I had done something! 
137,"At least I'm not ""innocent"". Nobody shall say that of me! "
138,"Well, the Zionist organization gave me the chance to leave at the time. "
139,"I was close friends with the leading people, especially then president, Kurt Blumenfeld. "
140,"Yet, in a certain sense I was influenced by them, "
141,"namely by the criticism, self-criticism "
142,which the Zionists spread among the Jewish people. 
143,I was influenced and impressed by that. 
144,But I had nothing to do with them politically. 
145,"Well, in 1933 Blumenfeld & someone whom you don't know approached me "
146,and told me they wanted to put together a collection 
147,of all the anti-Semitic statements made in ordinary circumstances. 
148,"Like statements made by teachers, all types of professional associations, "
149,"all kinds of professional journals, "
150,that which wasn't known abroad. 
151,To organize this collection then was what the Nazis called 'Horror Propaganda’. 
152,No Zionist would be able to do this. 
153,"Because if they were exposed, the entire organization would be exposed. "
154,"They asked if I'd do it. I said, sure. I was pleased. "
155,"First, it seemed quite sensible to me. "
156,"Second, I had the sense that something could be done after all. "
157,"Yeah, I was found out. I was very lucky. I got out after 8 days "
158,because I became friends with the officer who had arrested me. 
159,He had been promoted from the criminal police to a political division. 
160,"""Usually I have someone sitting in front of me,” "
161,
162,I told him fantastic stories. 
163,"And he kept saying: ""I brought you here, I'll get you out again."" "
164,"""Don't get a lawyer! Jews have no money now. Save your money!"" "
165,"Through members, of course. "
166,"Because the man who arrested me had such an open, decent face. I relied on him. "
167,I thought I had a much better chance than with a lawyer who was just afraid himself. 
168,"I got out, but had to cross the border illegally, since my name wasn't cleared. "
169,"In the correspondence mentioned before, Mrs. Arendt, "
170,you get a kind of reminder from Scholem: 
171,"""you should always be mindful of your affiliation with Jewish people"" "
172,which you clearly rejected as superfluous. That is: 
173,"""To be a Jew for me is one of the indubitable facts of my life."" "
174,"""I never wanted to change any such facts, not even in my childhood."" "
175,"That is, you make it clear that for you "
176,there never was something to question or that needed a reminder. 
177,I'd like to ask some questions about this. 
178,You were born in Hanover in 1906 as the daughter of an engineer 
179,what it was like for a kid in pre-war Germany to come from a Jewish family? 
180,I couldn't answer that question truthfully for the general public if I speak personally. 
181,"You see, first of all... "
182,I didn't know I was Jewish from my family. 
183,My mother was entirely non-religious. 
184,— Your father died young? — Right. 
185,It all sounds rather odd. My grandfather was president 
186,of a liberal Jewish community and city official of K6nigsberg. 
187,
188,"Nevertheless, the word 'Jew' was never used when I was a little kid. "
189,"I first encountered it via anti-Semitic remarks, that aren't worth recounting, "
190,
191,Did I feel like I was special? Yes. 
192,And I could no longer unravel that for you today. 
193,— In what way did you feel special? 
194,I think it was objectively related to being Jewish. 
195,"I knew, for example, as a kid, somewhat older now, "
196,"that I looked Jewish. That is, I looked different from others. "
197,But not in the form of an inferiority. 
198,"And then, my mother...my family home was a bit different than usual. "
199,"even compared to the other Jewish kids, "
200,"or even kids related to the family, "
201,But it certainly played a role. 
202,I'd like you to explain a bit about what made your family home special. 
203,there was never a need to explain your ethnicity until it happened on the street. 
204,Does that mean that the sense of being Jewish which 
205,"you claim for yourself in the letter to Scholem, was lost by your mother? "
206,Did it no longer play a role for her? 
207,Was there successful assimilation here? Or did your mother merely believe so? 
208,My mother was not very theoretical. 
209,I don't think she had any special ideas on this. 
210,"She herself came from the Social Democratic movement, "
211,"the circle of the Sozialistische Monatshefte, like my father. "
212,And the question played no role for her. 
213,"She was, of course, a Jew. She would've never baptized me! "
214,I suppose she would've slapped me left and right 
215,if she ever found out that I had denied being a Jew. 
216,"That was inconceivable, entirely out of the question! "
217,The question clearly played a greater role in the 20s when I was young than for her. 
218,"And for my mother later, when I grew up, it played a greater role than in earlier life. "
219,But that was due to external circumstances. 
220,"I, for example, don't think I've ever considered myself a German "
221,"in terms of ethnicity, not nationality, if one makes this distinction. "
222,"I recall heated discussions around 1930 with Jaspers on this, for instance. "
223,I didn't feel that it was anything inferior. 
224,And to come back to what was special about my family home. 
225,All Jewish children encountered anti-Semitism. 
226,And it poisoned the souls of many children. 
227,The difference with us was that 
228,my mother always thought that you must not cower. 
229,"So if, let's say, my teachers made anti-Semitic remarks, "
230,"mostly not about me, but other Jewish students, "
231,"such as eastern Jewish students, "
232,"then I was told to immediately get up, leave the class, come home, "
233,Then my mother wrote one of her many registered letters. 
234,I had a day off from school and that was nice! 
235,"But if it came from kids, I wasn't allowed to recount it at home. That did not apply. "
236,One defended oneself against what came from kids. 
237,So these things were never a problem for me. 
238,There were rules of conduct in which I retained my dignity. 
239,"ICMR ERE Reliae tat! at home, absolutely so. "
240,"You studied in Marburg, Heidelberg, and Freiburg "
241,"with professor Heidegger, Bultmann, and Jaspers. "
242,You majored in philosophy and minored in theology and Greek. 
243,How did this choice of study come about? 
244,"You know, I've often thought about that. "
245,I can only say: philosophy has been clear since I was 14. 
246,For me the question was somehow: 
247,"I can either study philosophy or drown myself, so to speak. "
248,"— Yes, this need to understand. "
249,"You see, all the books were at home... "
250,"— Besides Kant, do you recall any special reading experiences? "
251,"Yes, firstly, Jaspers's Psychology of World Views. "
252,I was 14 years old. 
253,It was linked in such a way that they both belonged together for me. 
254,I had no idea how to proceed. 
255,Greek is another matter. 
256,And poetry played a major role in my life. 
257,I added Greek because it was the most convenient. I read it anyway. 
258,Your intellectual talent was tested early. 
259,"As a young student, did this sometimes, perhaps painfully, "
260,separate you from the usual conduct of those around you? 
261,"You see, that would've been the case had I known it. "
262,I thought everyone was like that. 
263,— When did you realize your error? 
264,Quite late. I don't want to say when. 
265,I'm embarrassed. I was indescribably naive. 
266,It was partly due to my upbringing at home. 
267,Grades were never discussed at home. 
268,"In any case, it wasn't clear to me. "
269,I was sometimes aware of it as a sort of strangeness among people. 
270,
271,But it had nothing to do with talent. I never connected it to that. 
272,"Yeah, that happened very early on. "
273,I often suffered due to such disdain. 
274,"That is, knowing one really shouldn't and really must not, etc. "
275,"When you left Germany in 1933 you went to Paris, where you worked in an organization "
276,that tried to accommodate Jewish youth in Palestine. 
277,Can you say something about that? 
278,"I want to first say something about what this was. It was ""Youth Aliyah"". "
279,It was an organization founded in Germany by Recha Freier in 1932. 
280,Then in 1933 it got very large of course. 
281,And it was then led by Henrietta Szold in America. 
282,"Recha Freier in Germany, and Henrietta Szold in Palestine then. "
283,This organization brought Jewish youth 
284,between the age of 13-17 to Palestine from Germany 
285,and housed them there in kibbutzim. 
286,That's why I know these settlements relatively well. 
287,— And from a very early period. — Right. 
288,And I had a lot of respect for them back at that time. 
289,The kids received vocational training & educational training. 
290,"Now, in France the situation was that when the refugee kids were 14 years old "
291,"and they finished school, they weren't allowed to work or get vocational training. "
292,"As a result, certificates were sent to France for refugee children. "
293,"And I smuggled Polish children here and there, "
294,because of the preference for those from Germany. 
295,And I did that with great pleasure. 
296,"It was regular social work, educational work. "
297,"There were large camps in the country where the kids prepared, "
298,"where they also had lessons, learned to farm, and above all had to gain weight. "
299,We had to dress them from head to toe. Cook for them. 
300,"We especially had to get papers for them, deal with the parents. "
301,
302,"More than anything, we had to get them money. That was largely left to me. "
303,I worked together with French women. 
304,But do you want to hear about how I came to this work at all? 
305,"You see, I came from a purely academic background. "
306,"And in that respect, 1933 left a very lasting impression on me. "
307,"First a positive one, then a negative. "
308,"Or perhaps I should say: first a negative, then positive. "
309,Today it is often thought that the shock of German Jews in 1933 
310,is explained by Hitler seizing power. 
311,"Now, as far as I and my generation are concerned, "
312,I can say that this is a curious misunderstanding. 
313,"That was, of course, very awful. But it was political, not personal. "
314,"My god, we didn't need Hitler to come to power to know the Nazis were our enemies! "
315,That was completely clear for at least 4 years to anyone who was not an idiot! 
316,We also knew a large number of Germans were behind them. 
317,That couldn't shock or surprise us in 1933. 
318,"No, not only that. But that too. "
319,"First, the generally political became a personal fate when one emigrated. "
320,Second was 'co-ordination' (enforced conformity) of friends: they got in line. 
321,"The problem, the personal problem, never was what enemies did, but what friends did. "
322,"In the wave of 'co-ordination', that was relatively voluntary then, "
323,"at least not yet under the pressure of terror, "
324,"but in the sudden abandonment, it was as if a void formed around one. "
325,"Now, I lived in an intellectual milieu. "
326,And not among the others. 
327,"I left Germany dominated by one idea, obviously a bit exaggerated: "
328,I'll never again get involved In any intellectual business. 
329,I want nothing to do with this community. 
330,T also did not think that German Jews & German Jewish intellectuals 
331,would've acted any differently if their own situation had been different. 
332,I thought it had to do with the profession. 
333,I speak in the past tense. I know more today. 
334,— I wanted to ask if you still believe that. 
335,"Well, no longer to the same degree. "
336,But I think that it belongs to the essence an intellectual 
337,"that one fabricates ideas about everything, so to speak. "
338,No one ever blamed someone who ‘co-ordinated' to take care of their family. 
339,"For a short time, many very short. "
340,"That is, they made up ideas about Hitler. "
341,And in part tremendously interesting things! 
342,"Completely fantastic, interesting & complex things! "
343,And things far above the ordinary level! 
344,"they were trapped by their own ideas, I would say today. "
345,That's why it was so important for you to leave these circles 
346,"which you absolutely wanted to say goodbye to at that time, "
347,and turn from academic work to more practical-social work? 
348,"Yes, the positive side is the following. "
349,Back then I kept repeating a phrase I remembered: 
350,"""If one is attacked as a Jew, one must defend oneself as a Jew."" "
351,"""Not as German or world citizen, or human rights defender, or whatever."" "
352,"""But specifically, what can I do [as a Jew]?"" "
353,"Second, I definitely wanted to work with an organization. "
354,"And to work with the Zionists, as they were the only ones prepared. "
355,"I mean, it was pointless with the assimilated. "
356,I never really had much to do with them. 
357,I dealt with the Jewish question before. 
358,My book on Rahel Varnhagen was finished when I left Germany. 
